project_id,project_name,primary_region,project_complexity,technical_requirements,stakeholder_count,team_size,project_duration,virtual_team_ratio,language_barriers,communication_barriers,prior_collaboration,team_diversity,industry_sector,primary_country,power_distance,individualism,masculinity,uncertainty_avoidance,long_term_orientation,indulgence,project_success,schedule_variance,budget_performance,stakeholder_satisfaction,quality_metrics,team_performance
PROJ-011,Project 11,North America,3.0,2,33,25,28.0,79.0,1,1,2.0,High,Other,63,"63   NaN
63   NaN
Name: power_distance, dtype: float64","63   NaN
63   NaN
Name: individualism, dtype: float64","63   NaN
63   NaN
Name: masculinity, dtype: float64","63   NaN
63   NaN
Name: uncertainty_avoidance, dtype: float64","63   NaN
63   NaN
Name: long_term_orientation, dtype: float64","63   NaN
63   NaN
Name: indulgence, dtype: float64",0,0.9514965681570688,0.2,0.3,0.25,0.1597976817706218
PROJ-012,Project 12,Asia Pacific,1.0,4,50,11,12.0,84.0,5,2,2.0,Medium,Finance,45,"45   NaN
45   NaN
Name: power_distance, dtype: float64","45   NaN
45   NaN
Name: individualism, dtype: float64","45   NaN
45   NaN
Name: masculinity, dtype: float64","45   NaN
45   NaN
Name: uncertainty_avoidance, dtype: float64","45   NaN
45   NaN
Name: long_term_orientation, dtype: float64","45   NaN
45   NaN
Name: indulgence, dtype: float64",1,0.7071405327721526,0.885482257596462,0.8334942842362822,1.0,1.0
PROJ-013,Project 13,Middle East,3.0,3,10,14,28.0,74.0,1,4,5.0,Medium,Finance,2,"2   NaN
2   NaN
Name: power_distance, dtype: float64","2   NaN
2   NaN
Name: individualism, dtype: float64","2   NaN
2   NaN
Name: masculinity, dtype: float64","2   NaN
2   NaN
Name: uncertainty_avoidance, dtype: float64","2   NaN
2   NaN
Name: long_term_orientation, dtype: float64","2   NaN
2   NaN
Name: indulgence, dtype: float64",1,0.4791237432938486,1.0,1.0,1.0,0.7313084244207513
PROJ-014,Project 14,South America,5.0,3,39,23,36.0,100.0,1,1,2.0,Medium,Finance,26,"26   NaN
26   NaN
Name: power_distance, dtype: float64","26   NaN
26   NaN
Name: individualism, dtype: float64","26   NaN
26   NaN
Name: masculinity, dtype: float64","26   NaN
26   NaN
Name: uncertainty_avoidance, dtype: float64","26   NaN
26   NaN
Name: long_term_orientation, dtype: float64","26   NaN
26   NaN
Name: indulgence, dtype: float64",1,0.6865456559788711,1.0,1.0,0.9313680924350884,0.7541783480699426
PROJ-015,Project 15,Africa,2.0,1,45,3,9.0,35.0,3,1,4.0,Medium,Other,17,"17   NaN
17   NaN
Name: power_distance, dtype: float64","17   NaN
17   NaN
Name: individualism, dtype: float64","17   NaN
17   NaN
Name: masculinity, dtype: float64","17   NaN
17   NaN
Name: uncertainty_avoidance, dtype: float64","17   NaN
17   NaN
Name: long_term_orientation, dtype: float64","17   NaN
17   NaN
Name: indulgence, dtype: float64",1,0.877512137430878,0.9257980258443022,1.0,1.0,0.8732345054421645
PROJ-016,Project 16,North America,2.0,5,41,28,6.0,98.0,5,3,2.0,High,Technology,25,"25   NaN
25   NaN
Name: power_distance, dtype: float64","25   NaN
25   NaN
Name: individualism, dtype: float64","25   NaN
25   NaN
Name: masculinity, dtype: float64","25   NaN
25   NaN
Name: uncertainty_avoidance, dtype: float64","25   NaN
25   NaN
Name: long_term_orientation, dtype: float64","25   NaN
25   NaN
Name: indulgence, dtype: float64",0,0.9008939127614296,0.2,0.3,0.25,0.1352340862324791
PROJ-017,Project 17,Middle East,1.0,4,28,28,13.0,18.0,5,5,5.0,High,Other,18,"18   NaN
18   NaN
Name: power_distance, dtype: float64","18   NaN
18   NaN
Name: individualism, dtype: float64","18   NaN
18   NaN
Name: masculinity, dtype: float64","18   NaN
18   NaN
Name: uncertainty_avoidance, dtype: float64","18   NaN
18   NaN
Name: long_term_orientation, dtype: float64","18   NaN
18   NaN
Name: indulgence, dtype: float64",1,0.8534711807030839,1.0,0.8756607878701117,0.8761837225194433,0.8442806381020916
PROJ-018,Project 18,Middle East,4.0,2,33,3,31.0,19.0,4,4,2.0,Medium,Other,1,"1   NaN
1   NaN
Name: power_distance, dtype: float64","1   NaN
1   NaN
Name: individualism, dtype: float64","1   NaN
1   NaN
Name: masculinity, dtype: float64","1   NaN
1   NaN
Name: uncertainty_avoidance, dtype: float64","1   NaN
1   NaN
Name: long_term_orientation, dtype: float64","1   NaN
1   NaN
Name: indulgence, dtype: float64",1,0.7137378608040644,0.8394456593358921,1.0,1.0,0.9205926807616588
PROJ-019,Project 19,Africa,1.0,3,50,17,27.0,56.0,1,2,4.0,Medium,Finance,39,"39   NaN
39   NaN
Name: power_distance, dtype: float64","39   NaN
39   NaN
Name: individualism, dtype: float64","39   NaN
39   NaN
Name: masculinity, dtype: float64","39   NaN
39   NaN
Name: uncertainty_avoidance, dtype: float64","39   NaN
39   NaN
Name: long_term_orientation, dtype: float64","39   NaN
39   NaN
Name: indulgence, dtype: float64",1,0.4921942201495401,1.0,0.8924700669463612,0.9317965616800684,0.7692905115288899
PROJ-020,Project 20,North America,4.0,1,35,4,23.0,17.0,1,4,1.0,High,Manufacturing,60,"60   NaN
60   NaN
Name: power_distance, dtype: float64","60   NaN
60   NaN
Name: individualism, dtype: float64","60   NaN
60   NaN
Name: masculinity, dtype: float64","60   NaN
60   NaN
Name: uncertainty_avoidance, dtype: float64","60   NaN
60   NaN
Name: long_term_orientation, dtype: float64","60   NaN
60   NaN
Name: indulgence, dtype: float64",0,0.8339020729980533,0.2,0.3,0.25,0.1805230856279373
PROJ-021,Project 21,South America,2.0,1,39,24,12.0,46.0,2,2,5.0,Medium,Technology,4,"4   NaN
4   NaN
Name: power_distance, dtype: float64","4   NaN
4   NaN
Name: individualism, dtype: float64","4   NaN
4   NaN
Name: masculinity, dtype: float64","4   NaN
4   NaN
Name: uncertainty_avoidance, dtype: float64","4   NaN
4   NaN
Name: long_term_orientation, dtype: float64","4   NaN
4   NaN
Name: indulgence, dtype: float64",1,0.8378954304561632,1.0,0.8412040975904378,0.8463548259509771,0.8291449923211807
PROJ-022,Project 22,Europe,1.0,4,37,18,11.0,48.0,4,5,1.0,Low,Finance,34,"34   NaN
34   NaN
Name: power_distance, dtype: float64","34   NaN
34   NaN
Name: individualism, dtype: float64","34   NaN
34   NaN
Name: masculinity, dtype: float64","34   NaN
34   NaN
Name: uncertainty_avoidance, dtype: float64","34   NaN
34   NaN
Name: long_term_orientation, dtype: float64","34   NaN
34   NaN
Name: indulgence, dtype: float64",1,0.7828786127887577,1.0,1.0,0.8809351427821299,0.726931803619622
PROJ-023,Project 23,North America,5.0,3,25,27,26.0,13.0,2,2,1.0,Medium,Manufacturing,23,"23   NaN
23   NaN
Name: power_distance, dtype: float64","23   NaN
23   NaN
Name: individualism, dtype: float64","23   NaN
23   NaN
Name: masculinity, dtype: float64","23   NaN
23   NaN
Name: uncertainty_avoidance, dtype: float64","23   NaN
23   NaN
Name: long_term_orientation, dtype: float64","23   NaN
23   NaN
Name: indulgence, dtype: float64",1,0.7152646109481438,1.0,1.0,1.0,0.7802195314103494
PROJ-024,Project 24,Africa,3.0,5,36,10,20.0,14.0,2,3,1.0,Medium,Manufacturing,3,"3   NaN
3   NaN
Name: power_distance, dtype: float64","3   NaN
3   NaN
Name: individualism, dtype: float64","3   NaN
3   NaN
Name: masculinity, dtype: float64","3   NaN
3   NaN
Name: uncertainty_avoidance, dtype: float64","3   NaN
3   NaN
Name: long_term_orientation, dtype: float64","3   NaN
3   NaN
Name: indulgence, dtype: float64",1,0.6588952278628081,0.9838791531430132,1.0,0.8389155544438254,0.7620242660019758
PROJ-025,Project 25,Middle East,4.0,3,27,15,34.0,30.0,2,3,3.0,Low,Healthcare,11,"11   NaN
11   NaN
Name: power_distance, dtype: float64","11   NaN
11   NaN
Name: individualism, dtype: float64","11   NaN
11   NaN
Name: masculinity, dtype: float64","11   NaN
11   NaN
Name: uncertainty_avoidance, dtype: float64","11   NaN
11   NaN
Name: long_term_orientation, dtype: float64","11   NaN
11   NaN
Name: indulgence, dtype: float64",1,0.7315851966442878,1.0,0.912814724037575,0.9449272975911364,0.7912361742183522
PROJ-026,Project 26,South America,3.0,4,37,23,26.0,0.0,3,3,3.0,Low,Technology,41,"41   NaN
41   NaN
Name: power_distance, dtype: float64","41   NaN
41   NaN
Name: individualism, dtype: float64","41   NaN
41   NaN
Name: masculinity, dtype: float64","41   NaN
41   NaN
Name: uncertainty_avoidance, dtype: float64","41   NaN
41   NaN
Name: long_term_orientation, dtype: float64","41   NaN
41   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1630543579843966
PROJ-027,Project 27,North America,3.0,4,7,3,25.0,53.0,3,3,1.0,High,Manufacturing,15,"15   NaN
15   NaN
Name: power_distance, dtype: float64","15   NaN
15   NaN
Name: individualism, dtype: float64","15   NaN
15   NaN
Name: masculinity, dtype: float64","15   NaN
15   NaN
Name: uncertainty_avoidance, dtype: float64","15   NaN
15   NaN
Name: long_term_orientation, dtype: float64","15   NaN
15   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1717639986994371
PROJ-028,Project 28,Europe,1.0,3,22,18,34.0,2.0,2,4,5.0,High,Finance,51,"51   NaN
51   NaN
Name: power_distance, dtype: float64","51   NaN
51   NaN
Name: individualism, dtype: float64","51   NaN
51   NaN
Name: masculinity, dtype: float64","51   NaN
51   NaN
Name: uncertainty_avoidance, dtype: float64","51   NaN
51   NaN
Name: long_term_orientation, dtype: float64","51   NaN
51   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1701733649917427
PROJ-029,Project 29,Europe,3.0,4,29,9,14.0,15.0,4,5,4.0,Low,Healthcare,15,"15   NaN
15   NaN
Name: power_distance, dtype: float64","15   NaN
15   NaN
Name: individualism, dtype: float64","15   NaN
15   NaN
Name: masculinity, dtype: float64","15   NaN
15   NaN
Name: uncertainty_avoidance, dtype: float64","15   NaN
15   NaN
Name: long_term_orientation, dtype: float64","15   NaN
15   NaN
Name: indulgence, dtype: float64",1,0.7557939851137747,1.0,0.9784231343632056,1.0,0.5568286428737852
PROJ-030,Project 30,Asia Pacific,5.0,3,46,7,15.0,86.0,1,2,4.0,Low,Technology,China,80.0,20.0,66.0,30.0,87.0,24.0,0,0.974210246445322,0.2,0.3,0.25,0.1580538362245594
PROJ-031,Project 31,Asia Pacific,3.0,2,35,24,25.0,56.0,4,2,2.0,High,Other,37,"37   NaN
37   NaN
Name: power_distance, dtype: float64","37   NaN
37   NaN
Name: individualism, dtype: float64","37   NaN
37   NaN
Name: masculinity, dtype: float64","37   NaN
37   NaN
Name: uncertainty_avoidance, dtype: float64","37   NaN
37   NaN
Name: long_term_orientation, dtype: float64","37   NaN
37   NaN
Name: indulgence, dtype: float64",1,0.7219372011728283,0.937612980398988,1.0,1.0,0.6490578086593237
PROJ-032,Project 32,Africa,1.0,3,7,25,27.0,74.0,5,3,5.0,Medium,Finance,55,"55   NaN
55   NaN
Name: power_distance, dtype: float64","55   NaN
55   NaN
Name: individualism, dtype: float64","55   NaN
55   NaN
Name: masculinity, dtype: float64","55   NaN
55   NaN
Name: uncertainty_avoidance, dtype: float64","55   NaN
55   NaN
Name: long_term_orientation, dtype: float64","55   NaN
55   NaN
Name: indulgence, dtype: float64",1,0.7783180535882619,0.9463261459758492,0.6584630952850588,0.7531457084115691,0.7724272747532674
PROJ-033,Project 33,North America,5.0,3,44,5,32.0,11.0,3,3,3.0,Low,Manufacturing,62,"62   NaN
62   NaN
Name: power_distance, dtype: float64","62   NaN
62   NaN
Name: individualism, dtype: float64","62   NaN
62   NaN
Name: masculinity, dtype: float64","62   NaN
62   NaN
Name: uncertainty_avoidance, dtype: float64","62   NaN
62   NaN
Name: long_term_orientation, dtype: float64","62   NaN
62   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1575242082437816
PROJ-034,Project 34,North America,2.0,4,50,14,19.0,73.0,1,1,1.0,High,Manufacturing,39,"39   NaN
39   NaN
Name: power_distance, dtype: float64","39   NaN
39   NaN
Name: individualism, dtype: float64","39   NaN
39   NaN
Name: masculinity, dtype: float64","39   NaN
39   NaN
Name: uncertainty_avoidance, dtype: float64","39   NaN
39   NaN
Name: long_term_orientation, dtype: float64","39   NaN
39   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1795229671616942
PROJ-035,Project 35,Middle East,3.0,4,28,28,22.0,95.0,1,5,2.0,Medium,Finance,30,"30   NaN
30   NaN
Name: power_distance, dtype: float64","30   NaN
30   NaN
Name: individualism, dtype: float64","30   NaN
30   NaN
Name: masculinity, dtype: float64","30   NaN
30   NaN
Name: uncertainty_avoidance, dtype: float64","30   NaN
30   NaN
Name: long_term_orientation, dtype: float64","30   NaN
30   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.159397690657998
PROJ-036,Project 36,Middle East,1.0,1,36,18,27.0,15.0,5,4,4.0,Low,Manufacturing,48,"48   NaN
48   NaN
Name: power_distance, dtype: float64","48   NaN
48   NaN
Name: individualism, dtype: float64","48   NaN
48   NaN
Name: masculinity, dtype: float64","48   NaN
48   NaN
Name: uncertainty_avoidance, dtype: float64","48   NaN
48   NaN
Name: long_term_orientation, dtype: float64","48   NaN
48   NaN
Name: indulgence, dtype: float64",0,0.969211805557887,0.2,0.3,0.25,0.1651843603668652
PROJ-037,Project 37,Middle East,2.0,1,26,21,24.0,71.0,5,2,3.0,Medium,Healthcare,47,"47   NaN
47   NaN
Name: power_distance, dtype: float64","47   NaN
47   NaN
Name: individualism, dtype: float64","47   NaN
47   NaN
Name: masculinity, dtype: float64","47   NaN
47   NaN
Name: uncertainty_avoidance, dtype: float64","47   NaN
47   NaN
Name: long_term_orientation, dtype: float64","47   NaN
47   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1758611276131486
PROJ-038,Project 38,Asia Pacific,2.0,2,27,7,15.0,75.0,2,1,3.0,High,Technology,38,"38   NaN
38   NaN
Name: power_distance, dtype: float64","38   NaN
38   NaN
Name: individualism, dtype: float64","38   NaN
38   NaN
Name: masculinity, dtype: float64","38   NaN
38   NaN
Name: uncertainty_avoidance, dtype: float64","38   NaN
38   NaN
Name: long_term_orientation, dtype: float64","38   NaN
38   NaN
Name: indulgence, dtype: float64",1,0.875835887013759,1.0,1.0,1.0,0.92277522598193
PROJ-039,Project 39,North America,4.0,1,6,24,21.0,23.0,3,1,1.0,Low,Healthcare,24,"24   NaN
24   NaN
Name: power_distance, dtype: float64","24   NaN
24   NaN
Name: individualism, dtype: float64","24   NaN
24   NaN
Name: masculinity, dtype: float64","24   NaN
24   NaN
Name: uncertainty_avoidance, dtype: float64","24   NaN
24   NaN
Name: long_term_orientation, dtype: float64","24   NaN
24   NaN
Name: indulgence, dtype: float64",0,0.9848765514722188,0.2,0.3,0.25,0.1575397215328618
PROJ-040,Project 40,North America,5.0,3,31,27,14.0,27.0,3,2,4.0,Medium,Manufacturing,35,"35   NaN
35   NaN
Name: power_distance, dtype: float64","35   NaN
35   NaN
Name: individualism, dtype: float64","35   NaN
35   NaN
Name: masculinity, dtype: float64","35   NaN
35   NaN
Name: uncertainty_avoidance, dtype: float64","35   NaN
35   NaN
Name: long_term_orientation, dtype: float64","35   NaN
35   NaN
Name: indulgence, dtype: float64",1,0.924784725829762,1.0,0.9619379978758624,0.9549898866309776,0.8094179441680409
PROJ-041,Project 41,Europe,3.0,4,46,16,21.0,7.0,4,4,5.0,Low,Other,20,"20   NaN
20   NaN
Name: power_distance, dtype: float64","20   NaN
20   NaN
Name: individualism, dtype: float64","20   NaN
20   NaN
Name: masculinity, dtype: float64","20   NaN
20   NaN
Name: uncertainty_avoidance, dtype: float64","20   NaN
20   NaN
Name: long_term_orientation, dtype: float64","20   NaN
20   NaN
Name: indulgence, dtype: float64",1,0.9528472452128748,0.8934436275134974,1.0,0.9453739828969104,0.8010023302242254
PROJ-042,Project 42,Asia Pacific,1.0,1,6,30,14.0,91.0,2,1,3.0,Medium,Technology,32,"32   NaN
32   NaN
Name: power_distance, dtype: float64","32   NaN
32   NaN
Name: individualism, dtype: float64","32   NaN
32   NaN
Name: masculinity, dtype: float64","32   NaN
32   NaN
Name: uncertainty_avoidance, dtype: float64","32   NaN
32   NaN
Name: long_term_orientation, dtype: float64","32   NaN
32   NaN
Name: indulgence, dtype: float64",0,0.9309556833709228,0.2,0.3,0.25,0.1491480207113785
PROJ-043,Project 43,South America,4.0,1,30,7,11.0,35.0,2,1,1.0,High,Technology,10,"10   NaN
10   NaN
Name: power_distance, dtype: float64","10   NaN
10   NaN
Name: individualism, dtype: float64","10   NaN
10   NaN
Name: masculinity, dtype: float64","10   NaN
10   NaN
Name: uncertainty_avoidance, dtype: float64","10   NaN
10   NaN
Name: long_term_orientation, dtype: float64","10   NaN
10   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1446176955311522
PROJ-044,Project 44,Asia Pacific,5.0,2,21,17,9.0,89.0,2,5,5.0,High,Finance,13,"13   NaN
13   NaN
Name: power_distance, dtype: float64","13   NaN
13   NaN
Name: individualism, dtype: float64","13   NaN
13   NaN
Name: masculinity, dtype: float64","13   NaN
13   NaN
Name: uncertainty_avoidance, dtype: float64","13   NaN
13   NaN
Name: long_term_orientation, dtype: float64","13   NaN
13   NaN
Name: indulgence, dtype: float64",1,0.8612624231553945,1.0,0.841255059256131,1.0,0.5728114083574065
PROJ-045,Project 45,South America,4.0,2,44,19,30.0,7.0,2,4,4.0,Low,Finance,66,"66   NaN
66   NaN
Name: power_distance, dtype: float64","66   NaN
66   NaN
Name: individualism, dtype: float64","66   NaN
66   NaN
Name: masculinity, dtype: float64","66   NaN
66   NaN
Name: uncertainty_avoidance, dtype: float64","66   NaN
66   NaN
Name: long_term_orientation, dtype: float64","66   NaN
66   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1384667813095134
PROJ-046,Project 46,Europe,5.0,3,37,16,16.0,57.0,3,1,3.0,Medium,Other,Japan,54.0,46.0,95.0,92.0,88.0,42.0,0,0.9363942127000752,0.2,0.3,0.25,0.1244273833358039
PROJ-047,Project 47,Africa,5.0,4,13,22,33.0,59.0,3,4,5.0,Low,Technology,24,"24   NaN
24   NaN
Name: power_distance, dtype: float64","24   NaN
24   NaN
Name: individualism, dtype: float64","24   NaN
24   NaN
Name: masculinity, dtype: float64","24   NaN
24   NaN
Name: uncertainty_avoidance, dtype: float64","24   NaN
24   NaN
Name: long_term_orientation, dtype: float64","24   NaN
24   NaN
Name: indulgence, dtype: float64",1,0.6469859884396005,0.927920958106356,1.0,1.0,0.9255198484453252
PROJ-048,Project 48,North America,3.0,2,47,7,21.0,49.0,2,2,5.0,Low,Other,Japan,54.0,46.0,95.0,92.0,88.0,42.0,1,0.3960006805384989,1.0,1.0,0.8402288080226591,0.8188416008297429
PROJ-049,Project 49,Europe,5.0,1,43,14,18.0,27.0,4,3,5.0,Medium,Finance,30,"30   NaN
30   NaN
Name: power_distance, dtype: float64","30   NaN
30   NaN
Name: individualism, dtype: float64","30   NaN
30   NaN
Name: masculinity, dtype: float64","30   NaN
30   NaN
Name: uncertainty_avoidance, dtype: float64","30   NaN
30   NaN
Name: long_term_orientation, dtype: float64","30   NaN
30   NaN
Name: indulgence, dtype: float64",1,0.7856790880851943,1.0,0.9148367405238708,0.9483743984062872,0.7874061027053166
PROJ-050,Project 50,North America,4.0,4,33,18,7.0,91.0,1,1,3.0,Medium,Finance,23,"23   NaN
23   NaN
Name: power_distance, dtype: float64","23   NaN
23   NaN
Name: individualism, dtype: float64","23   NaN
23   NaN
Name: masculinity, dtype: float64","23   NaN
23   NaN
Name: uncertainty_avoidance, dtype: float64","23   NaN
23   NaN
Name: long_term_orientation, dtype: float64","23   NaN
23   NaN
Name: indulgence, dtype: float64",1,0.7562876883428077,0.8781027477463874,1.0,1.0,0.7282514813918919
PROJ-051,Project 51,Middle East,5.0,4,46,28,14.0,100.0,1,5,3.0,Medium,Technology,38,"38   NaN
38   NaN
Name: power_distance, dtype: float64","38   NaN
38   NaN
Name: individualism, dtype: float64","38   NaN
38   NaN
Name: masculinity, dtype: float64","38   NaN
38   NaN
Name: uncertainty_avoidance, dtype: float64","38   NaN
38   NaN
Name: long_term_orientation, dtype: float64","38   NaN
38   NaN
Name: indulgence, dtype: float64",1,0.6155509492696499,0.9948371527707732,0.828681018505574,0.9200461078767316,0.8029779263234624
PROJ-052,Project 52,Africa,3.0,1,30,28,27.0,40.0,4,2,2.0,High,Healthcare,15,"15   NaN
15   NaN
Name: power_distance, dtype: float64","15   NaN
15   NaN
Name: individualism, dtype: float64","15   NaN
15   NaN
Name: masculinity, dtype: float64","15   NaN
15   NaN
Name: uncertainty_avoidance, dtype: float64","15   NaN
15   NaN
Name: long_term_orientation, dtype: float64","15   NaN
15   NaN
Name: indulgence, dtype: float64",1,0.6877223902767913,1.0,0.9624521932400508,1.0,0.7152020122344667
PROJ-053,Project 53,Africa,3.0,2,39,18,23.0,99.0,2,4,4.0,Low,Manufacturing,39,"39   NaN
39   NaN
Name: power_distance, dtype: float64","39   NaN
39   NaN
Name: individualism, dtype: float64","39   NaN
39   NaN
Name: masculinity, dtype: float64","39   NaN
39   NaN
Name: uncertainty_avoidance, dtype: float64","39   NaN
39   NaN
Name: long_term_orientation, dtype: float64","39   NaN
39   NaN
Name: indulgence, dtype: float64",0,0.8033168484737327,0.2,0.3,0.25,0.1634803711324121
PROJ-054,Project 54,Europe,4.0,1,29,23,25.0,63.0,3,2,1.0,Low,Finance,28,"28   NaN
28   NaN
Name: power_distance, dtype: float64","28   NaN
28   NaN
Name: individualism, dtype: float64","28   NaN
28   NaN
Name: masculinity, dtype: float64","28   NaN
28   NaN
Name: uncertainty_avoidance, dtype: float64","28   NaN
28   NaN
Name: long_term_orientation, dtype: float64","28   NaN
28   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1649146796584271
PROJ-055,Project 55,Africa,2.0,4,28,9,18.0,26.0,1,1,5.0,High,Finance,53,"53   NaN
53   NaN
Name: power_distance, dtype: float64","53   NaN
53   NaN
Name: individualism, dtype: float64","53   NaN
53   NaN
Name: masculinity, dtype: float64","53   NaN
53   NaN
Name: uncertainty_avoidance, dtype: float64","53   NaN
53   NaN
Name: long_term_orientation, dtype: float64","53   NaN
53   NaN
Name: indulgence, dtype: float64",1,0.6265450788207534,0.9597965189654776,1.0,0.9891962300210748,0.7138616297643257
